repeat,pr_focused_extra,roc_focused_extra,top5_precision_focused_extra,pr_strict_history,roc_strict_history,top5_precision_strict_history,pr_target_history_sensitivity,roc_target_history_sensitivity,top5_precision_target_history_sensitivity
67,0.23240875289822693,0.6742263648127086,0.32696177062374243,0.2475480376764288,0.6829201877481339,0.3501006036217304,0.255813268117697,0.6842592769776891,0.358148893360161
68,0.2412471916021116,0.6789680542619811,0.3217821782178218,0.25631862764050617,0.6906158412685395,0.3564356435643564,0.26277985275397525,0.6903159622366914,0.3613861386138614
69,0.2538530351050122,0.6803497197764075,0.3605236656596173,0.271712028731813,0.6921117105769895,0.37059415911379656,0.28001172944901276,0.691691091450268,0.39375629405840884
70,0.24297843860859725,0.6727037457217818,0.32665330661322645,0.25631991195239356,0.683463754752606,0.35671342685370744,0.2653087482917078,0.6834461145099203,0.38276553106212424
71,0.23282724415372813,0.6726580248145415,0.33099297893681046,0.25154005345605523,0.6845174514095219,0.35907723169508526,0.259843855583311,0.6844075593633393,0.3711133400200602
72,0.24014157250001505,0.6753366312658511,0.33567134268537074,0.2559444877096872,0.6869675539909004,0.36072144288577157,0.26503856885824617,0.6868173382625856,0.36172344689378755
73,0.25280281525573944,0.6769902748270887,0.35756972111553786,0.2731327072660812,0.6918264313516278,0.3904382470119522,0.2770215304896363,0.6916712324523883,0.39243027888446214
74,0.23728927712305117,0.6830569655440448,0.3414882772680938,0.2545675723791633,0.6917347112465015,0.37003058103975534,0.25586973261127016,0.6911144167652417,0.3761467889908257
75,0.24707102016132831,0.6805087889070527,0.33966033966033965,0.26314524856998023,0.6925318924764328,0.37462537462537465,0.2708032957246413,0.6931023313280257,0.38961038961038963
76,0.21904545170244505,0.6704626615834589,0.33028455284552843,0.238820934102908,0.6862166761202496,0.3384146341463415,0.2488028770977327,0.6865927299404909,0.3567073170731707
77,0.24514163416131876,0.6872007139933449,0.352,0.27433245569709563,0.7024582810553466,0.395,0.2756355927475981,0.7013948701479726,0.4
78,0.24857147873279378,0.6814310176985173,0.35542168674698793,0.2747449582687475,0.6956256919596138,0.39759036144578314,0.27795980896773964,0.6942804158645401,0.3985943775100402
79,0.24769494959235525,0.6838005174590115,0.3597989949748744,0.2677156900624117,0.7011112305632385,0.3879396984924623,0.2767067710879694,0.7010547680457304,0.414070351758794
80,0.24231007558124756,0.6765082594813521,0.35418768920282545,0.2617605921760776,0.6864382735426979,0.38244197780020184,0.26730670726805644,0.6867492627531673,0.39253279515640765
81,0.2450344762574529,0.6669602015770746,0.3437185929648241,0.2637727113476137,0.6803728817273709,0.37386934673366834,0.26935481516960025,0.6801445684959617,0.39095477386934674
82,0.23935703815911635,0.6794035450308058,0.342685370741483,0.25192789778502694,0.6879170229025371,0.35771543086172347,0.25465262235699476,0.6885580262245734,0.374749498997996
83,0.23916931875807504,0.680670071338762,0.3360242179616549,0.26131718055252917,0.693845559647996,0.36730575176589303,0.2644159529039755,0.6927665236377616,0.38042381432896066
84,0.24144181189607183,0.6718394280221711,0.3343313373253493,0.2556774985776855,0.6826585912878474,0.3582834331337325,0.26067009521997503,0.68249719805135,0.36726546906187624
